id,type,multi_hop,mode,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,reaq_hop_accuracy_corrected
kubectl_export_namespace_resources,command,False,graphrag,0.0,0.66311,0.0,1.0,1.0
configmap_usage,conceptual,True,graphrag,0.0,0.782503,0.75,0.0,0.0
daemonset_purpose,conceptual,False,graphrag,0.0,0.703837,0.0,0.5,1.0
deployment_basic,conceptual,True,graphrag,0.222222,0.575142,0.25,0.5,0.9
hpa_target,conceptual,True,graphrag,0.333333,0.738739,0.0,0.0,1.0
ingress_purpose,conceptual,True,graphrag,0.307692,0.231472,1.0,0.5,0.8571428571428571
job_cronjob,conceptual,False,graphrag,0.285714,0.725942,0.0,0.25,1.0
namespace_quota,conceptual,True,graphrag,0.2,0.365245,1.0,1.0,1.0
persistent_volume_concept,conceptual,True,graphrag,0.153846,0.330295,1.0,1.0,1.0
secret_types,conceptual,False,graphrag,0.3,0.748133,0.0,0.333333,
service_types,conceptual,True,graphrag,,0.731813,0.0,0.5,0.8333333333333334
statefulset_storage,conceptual,False,graphrag,0.6875,0.695856,0.625,0.5,1.0
storageclass_concept,conceptual,False,graphrag,0.5,0.829244,1.0,0.5,1.0
add_env_from_configmap,followup,True,graphrag,0.0,0.582317,0.0,0.0,0.75
add_env_from_secret,followup,True,graphrag,0.058824,0.601977,0.0,0.0,1.0
add_hpa_to_deployment,followup,True,graphrag,,0.28297,0.0,0.0,0.18181818181818182
add_liveness_probe,followup,True,graphrag,0.055556,0.442176,0.0,1.0,0.8181818181818182
add_pvc_to_statefulset,followup,True,graphrag,,0.09906,0.925,0.5,1.0
add_readiness_probe,followup,True,graphrag,0.05,0.249526,0.2,0.0,1.0
add_resource_limits,followup,True,graphrag,0.0,0.475674,0.0,0.571429,1.0
add_resource_limits_deployment,followup,True,graphrag,0.05,0.400687,0.2,1.0,0.9
change_service_type,followup,False,graphrag,0.1,0.662875,0.392857,0.0,1.0
expose_with_ingress,followup,True,graphrag,0.090909,0.466149,1.0,0.5,1.0
scale_existing_deployment,followup,False,graphrag,0.0625,0.362864,0.0,1.0,1.0
update_image_version,followup,True,graphrag,0.1,0.507611,0.0,0.0,1.0
plan_autoscale_ha,planning,True,graphrag,,0.233653,1.0,1.0,0.9705882352941176
plan_cronjob_batch,planning,True,graphrag,0.6,0.33863,1.0,0.333333,0.9090909090909091
plan_namespace_isolation,planning,True,graphrag,0.0,0.210527,1.0,0.5,0.9090909090909091
plan_redis_persistent,planning,True,graphrag,0.230769,0.64513,1.0,0.4,0.9787234042553191
plan_webapp_with_db,planning,True,graphrag,0.0,0.713517,1.0,0.0,0.9428571428571428
deployment_vs_statefulset_comparison,realworld,True,graphrag,0.142857,0.766944,0.0,0.666667,0.2647058823529412
hpa_custom_metrics_yaml,realworld,True,graphrag,0.0,0.821127,0.0,0.0,1.0
pcopied_from_here_a_hrefhttpsgithubcomkubeflowpi,realworld,True,graphrag,0.0,0.0,0.0,0.0,0.0
pi_am_quite_new_to_tektonp,realworld,True,graphrag,0.0,0.0,0.0,0.0,0.0
pi_am_wondering_if_it_is,realworld,True,graphrag,0.625,0.412572,1.0,0.5,
pi_cant_find_documentation_on_how,realworld,True,graphrag,0.0,0.0,0.0,0.0,0.0
pi_have_a_google_kubernetes_cluster,realworld,True,graphrag,0.0,0.0,0.0,0.5,0.0
pi_have_a_tekton_codepipelinecode_and,realworld,True,graphrag,0.0,0.0,0.0,0.0,0.0
pi_want_to_pass_a_certificate,realworld,True,graphrag,,0.387613,0.0,0.0,
pi_want_to_reject_all_docker,realworld,True,graphrag,0.0,0.0,0.0,0.0,0.0
pid_like_to_confirm_information_of,realworld,True,graphrag,0.0,0.837435,0.0,0.0,0.0
pim_using_argocd_and_i_want,realworld,True,graphrag,0.0,0.0,0.0,0.0,0.0
pkubectl_provides_a_nice_way_to,realworld,True,graphrag,0.333333,0.490872,0.0,0.0,
pthis_eks_cluster_has_a_private,realworld,True,graphrag,0.0,0.0,0.0,0.0,0.0
pusing_kubernetes_v1157_in_minikube_and,realworld,True,graphrag,0.0,0.0,0.0,0.0,
pwhen_using_istio_with_kubernetes_a,realworld,True,graphrag,0.5,0.0,0.0,0.0,
pwith_kubectl_i_know_i_can,realworld,True,graphrag,0.0,0.741501,0.0,0.0,0.0
cronjob_job_pod,relationship,True,graphrag,0.444444,0.564772,0.5,0.666667,0.6
deep_deployment_container_resources,relationship,True,graphrag,0.0,0.803453,0.0,0.666667,0.2727272727272727
deep_statefulset_container_probe,relationship,True,graphrag,0.0,0.794679,0.0,0.5,0.3191489361702128
deployment_pod_relation,relationship,True,graphrag,0.6875,0.862389,1.0,1.0,1.0
extends_hpa_metric,relationship,True,graphrag,0.090909,0.66,0.0,0.0,0.42
hpa_deployment_pod,relationship,True,graphrag,,0.503953,1.0,0.666667,0.42
namespace_quota_relation,relationship,True,graphrag,0.2,0.668711,0.0,0.0,0.6
networkpolicy_pod_selector,relationship,True,graphrag,0.857143,0.600626,0.804167,0.666667,0.4444444444444444
rbac_binding,relationship,True,graphrag,0.416667,0.470342,1.0,1.0,1.0
service_selector,relationship,True,graphrag,0.75,0.353924,1.0,0.666667,0.23809523809523808
serviceaccount_token_binding,relationship,True,graphrag,1.0,0.756788,0.0,0.25,0.5
statefulset_pvc_pv,relationship,True,graphrag,0.555556,0.791899,0.625,0.666667,0.32608695652173914
deployment_rollout_stuck,troubleshooting,True,graphrag,0.1,0.546989,0.0,1.0,0.28125
service_no_endpoints,troubleshooting,True,graphrag,0.866667,0.635127,1.0,1.0,0.23255813953488372
clusterrole_read_pods,yaml_gen,False,graphrag,0.25,0.646102,1.0,1.0,1.0
clusterrolebinding_yaml,yaml_gen,True,graphrag,0.111111,0.56479,1.0,0.0,1.0
configmap_env,yaml_gen,False,graphrag,0.166667,0.522057,0.0,1.0,
cronjob_backup,yaml_gen,True,graphrag,0.181818,0.308572,0.0,0.0,1.0
daemonset_fluentd,yaml_gen,True,graphrag,0.05,0.581572,0.0,0.0,1.0
deployment_3_replicas,yaml_gen,True,graphrag,0.055556,0.553495,0.0,0.571429,1.0
deployment_liveness_probe,yaml_gen,True,graphrag,0.0,0.631158,0.0,0.0,1.0
ingress_rules,yaml_gen,True,graphrag,0.1,0.378246,1.0,0.5,1.0
networkpolicy_deny_all,yaml_gen,False,graphrag,0.25,0.512686,0.0,0.0,1.0
pod_configmap_volume,yaml_gen,True,graphrag,0.071429,0.513026,1.0,0.0,0.45045045045045046
pvc_dynamic,yaml_gen,False,graphrag,0.363636,0.571025,1.0,0.571429,1.0
rolebinding_dev,yaml_gen,False,graphrag,0.1,0.526973,1.0,0.0,1.0
service_nodeport,yaml_gen,True,graphrag,0.111111,0.376373,0.0,0.0,1.0
statefulset_with_pvc,yaml_gen,True,graphrag,0.055556,0.442138,1.0,0.0,1.0
yaml_layer3_required_fields,yaml_gen,True,graphrag,0.0,0.51,0.0,0.571429,1.0
kubectl_find_pods_with_env,command,False,graphrag,0.857143,0.792726,0.0,1.0,0.2882882882882883
kubectl_force_delete_pod,command,False,graphrag,0.0,0.790608,0.0,1.0,0.45045045045045046
pod_spec,conceptual,False,graphrag,,0.803755,0.058824,1.0,0.22580645161290322
required_fields_container,conceptual,False,graphrag,0.428571,0.759302,0.041667,0.0,0.0
scope_accuracy_node,conceptual,False,graphrag,0.2,0.7144,1.0,0.333333,1.0
configmap_volume_mount,realworld,True,graphrag,0.0,0.814823,0.0,0.0,0.3333333333333333
pbased_on_a_hrefhttpsstackoverflowcomquestions599,realworld,True,graphrag,0.5,0.0,0.0,0.0,0.2882882882882883
pheres_a_simplified_version_of_a,realworld,True,graphrag,0.090909,0.552739,0.0,0.0,1.0
pi_have_a_command_to_run,realworld,True,graphrag,0.0,0.0,0.0,0.0,0.45045045045045046
pim_trying_to_use_a_container,realworld,True,graphrag,0.157895,0.726918,0.0,0.0,1.0
precodespec_containers_image_nginx_imagepul,realworld,True,graphrag,0.0,0.318633,0.0,0.0,0.45045045045045046
serviceaccount_pod_binding,realworld,True,graphrag,0.0,0.826654,0.0,0.0,0.2
anyof_intorstring,relationship,True,graphrag,0.0,0.565054,0.066667,0.0,1.0
ingress_service_pod,relationship,True,graphrag,,0.517713,0.733333,1.0,0.9130434782608695
oneof_volume_source,relationship,True,graphrag,,0.730364,0.017857,0.0,0.01694915254237288
pod_namespace_relation,relationship,False,graphrag,0.5,0.702595,0.048055,1.0,0.45045045045045046
pvc_storageclass,relationship,True,graphrag,0.142857,0.877474,0.5,0.5,1.0
secret_usage,relationship,True,graphrag,1.0,0.82205,0.0,0.0,0.25
crashloopbackoff_oomkilled,troubleshooting,True,graphrag,0.0,0.665148,0.0,1.0,0.2857142857142857
imagepullbackoff_registry_secret,troubleshooting,True,graphrag,1.0,0.522714,0.0,1.0,0.2882882882882883
pod_pending_no_resources,troubleshooting,True,graphrag,0.0,0.638553,0.0,1.0,0.2882882882882883
