id,type,multi_hop,mode,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,reaq_hop_accuracy_corrected
kubectl_export_namespace_resources,command,False,llm,,0.684599,,,
kubectl_find_pods_with_env,command,False,llm,,0.791603,,,
kubectl_force_delete_pod,command,False,llm,,0.698916,,,
configmap_usage,conceptual,True,llm,,0.774373,,,
daemonset_purpose,conceptual,False,llm,,0.703851,,,
deployment_basic,conceptual,True,llm,,0.597059,,,
hpa_target,conceptual,True,llm,,0.683584,,,
ingress_purpose,conceptual,True,llm,,0.631752,,,
job_cronjob,conceptual,False,llm,,0.739036,,,
namespace_quota,conceptual,True,llm,,0.589996,,,
persistent_volume_concept,conceptual,True,llm,,0.703894,,,
pod_spec,conceptual,False,llm,,0.711108,,,
required_fields_container,conceptual,False,llm,,0.722322,,,
scope_accuracy_node,conceptual,False,llm,,0.717878,,,
secret_types,conceptual,False,llm,,0.697858,,,
service_types,conceptual,True,llm,,0.768818,,,
statefulset_storage,conceptual,False,llm,,0.696543,,,
storageclass_concept,conceptual,False,llm,,0.658555,,,
add_env_from_configmap,followup,True,llm,,0.659815,,,
add_env_from_secret,followup,True,llm,,0.696467,,,
add_hpa_to_deployment,followup,True,llm,,0.456281,,,
add_liveness_probe,followup,True,llm,,0.6204,,,
add_pvc_to_statefulset,followup,True,llm,,0.577752,,,
add_readiness_probe,followup,True,llm,,0.646992,,,
add_resource_limits,followup,True,llm,,0.555777,,,
add_resource_limits_deployment,followup,True,llm,,0.543592,,,
change_service_type,followup,False,llm,,0.60376,,,
expose_with_ingress,followup,True,llm,,0.489559,,,
scale_existing_deployment,followup,False,llm,,0.517267,,,
update_image_version,followup,True,llm,,0.697493,,,
plan_autoscale_ha,planning,True,llm,,0.600536,,,
plan_cronjob_batch,planning,True,llm,,0.623755,,,
plan_namespace_isolation,planning,True,llm,,0.697768,,,
plan_redis_persistent,planning,True,llm,,0.734643,,,
plan_webapp_with_db,planning,True,llm,,0.774578,,,
configmap_volume_mount,realworld,True,llm,,0.819103,,,
deployment_vs_statefulset_comparison,realworld,True,llm,,0.761585,,,
