id,type,multi_hop,mode,ragas_faithfulness,reaq_hop_accuracy_corrected
kubectl_export_namespace_resources,command,True,graphrag,0.142857,1.0
kubectl_find_pods_with_env,command,True,graphrag,0.545455,0.7142857142857143
kubectl_force_delete_pod,command,True,graphrag,0.0,0.2882882882882883
configmap_usage,conceptual,False,graphrag,0.125,
container_lifecycle_concept,conceptual,True,graphrag,0.833333,0.2
daemonset_purpose,conceptual,False,graphrag,0.3125,1.0
deployment_basic,conceptual,True,graphrag,0.2,1.0
empty_dir_volume_concept,conceptual,True,graphrag,0.5,1.0
env_var_concept,conceptual,True,graphrag,1.0,0.16666666666666666
hpa_target,conceptual,True,graphrag,0.181818,1.0
ingress_purpose,conceptual,True,graphrag,0.666667,1.0
job_cronjob,conceptual,False,graphrag,0.111111,1.0
limit_range_concept,conceptual,True,graphrag,0.375,1.0
namespace_quota,conceptual,True,graphrag,0.857143,1.0
node_affinity_concept,conceptual,True,graphrag,0.0,1.0
persistent_volume_concept,conceptual,True,graphrag,0.545455,1.0
pod_disruption_budget_concept,conceptual,True,graphrag,0.272727,1.0
pod_spec,conceptual,False,graphrag,0.666667,0.22580645161290322
probe_concept,conceptual,True,graphrag,1.0,1.0
required_fields_container,conceptual,False,graphrag,0.0,0.0
resource_requirements_concept,conceptual,True,graphrag,0.666667,1.0
scope_accuracy_node,conceptual,False,graphrag,0.142857,1.0
secret_types,conceptual,False,graphrag,0.272727,
service_types,conceptual,True,graphrag,,1.0
statefulset_storage,conceptual,False,graphrag,,1.0
storageclass_concept,conceptual,False,graphrag,0.625,1.0
toleration_concept,conceptual,False,graphrag,0.2,
volume_mount_concept,conceptual,False,graphrag,0.083333,
add_env_from_configmap,followup,True,graphrag,,1.0
add_env_from_secret,followup,True,graphrag,0.055556,1.0
add_hpa_to_deployment,followup,True,graphrag,,0.19047619047619047
add_liveness_probe,followup,True,graphrag,0.05,1.0
add_pvc_to_statefulset,followup,True,graphrag,0.0,1.0
add_readiness_probe,followup,True,graphrag,0.05,1.0
add_resource_limits,followup,True,graphrag,0.052632,1.0
add_resource_limits_deployment,followup,True,graphrag,0.05,1.0
change_service_type,followup,False,graphrag,0.1,1.0
expose_with_ingress,followup,True,graphrag,0.0,1.0
scale_existing_deployment,followup,False,graphrag,0.0625,1.0
update_image_version,followup,True,graphrag,0.071429,1.0
plan_autoscale_ha,planning,True,graphrag,0.428571,1.0
plan_cronjob_batch,planning,True,graphrag,0.0,1.0
plan_namespace_isolation,planning,True,graphrag,1.0,1.0
plan_redis_persistent,planning,True,graphrag,0.533333,1.0
plan_webapp_with_db,planning,True,graphrag,,1.0
configmap_volume_mount,realworld,False,graphrag,0.375,
deployment_vs_statefulset_comparison,realworld,True,graphrag,,0.28125
hpa_custom_metrics_yaml,realworld,True,graphrag,0.166667,1.0
pheres_a_simplified_version_of_a,realworld,True,graphrag,0.4,0.29411764705882354
pi_am_wondering_if_it_is,realworld,False,graphrag,0.230769,
pi_have_a_command_to_run,realworld,True,graphrag,0.0,0.2882882882882883
pi_want_to_pass_a_certificate,realworld,False,graphrag,0.142857,
pim_trying_to_use_a_container,realworld,True,graphrag,0.153846,0.29411764705882354
precodespec_containers_image_nginx_imagepul,realworld,True,graphrag,0.923077,0.7142857142857143
serviceaccount_pod_binding,realworld,True,graphrag,0.5,0.0
anyof_intorstring,relationship,True,graphrag,0.75,1.0
cronjob_job_pod,relationship,True,graphrag,0.285714,1.0
deep_deployment_container_resources,relationship,True,graphrag,0.0,0.28125
deep_statefulset_container_probe,relationship,True,graphrag,0.0,0.32608695652173914
deployment_pod_relation,relationship,True,graphrag,0.9,0.28125
extends_hpa_metric,relationship,True,graphrag,0.0,0.42
hpa_deployment_pod,relationship,True,graphrag,0.066667,0.42
ingress_service_pod,relationship,True,graphrag,1.0,1.0
namespace_quota_relation,relationship,True,graphrag,0.588235,0.8333333333333334
networkpolicy_pod_selector,relationship,True,graphrag,1.0,0.4444444444444444
oneof_volume_source,relationship,True,graphrag,0.375,0.0
pod_namespace_relation,relationship,False,graphrag,0.666667,0.2882882882882883
pvc_storageclass,relationship,True,graphrag,0.111111,0.7857142857142857
rbac_binding,relationship,True,graphrag,0.4375,1.0
secret_usage,relationship,True,graphrag,0.0,0.16153846153846155
service_selector,relationship,True,graphrag,0.0,0.23809523809523808
serviceaccount_token_binding,relationship,True,graphrag,0.0,0.0
statefulset_pvc_pv,relationship,True,graphrag,0.818182,0.32608695652173914
crashloopbackoff_oomkilled,troubleshooting,True,graphrag,0.615385,0.7142857142857143
deployment_rollout_stuck,troubleshooting,True,graphrag,0.153846,0.28125
imagepullbackoff_registry_secret,troubleshooting,True,graphrag,0.6,0.2882882882882883
pod_pending_no_resources,troubleshooting,True,graphrag,0.181818,0.2882882882882883
service_no_endpoints,troubleshooting,True,graphrag,0.0,0.23809523809523808
clusterrole_read_pods,yaml_gen,False,graphrag,0.375,1.0
clusterrolebinding_yaml,yaml_gen,True,graphrag,0.272727,1.0
configmap_env,yaml_gen,False,graphrag,0.111111,
cronjob_backup,yaml_gen,True,graphrag,,1.0
cronjob_with_deadline,yaml_gen,True,graphrag,0.1875,1.0
daemonset_fluentd,yaml_gen,True,graphrag,0.666667,1.0
deployment_3_replicas,yaml_gen,True,graphrag,0.055556,1.0
deployment_liveness_probe,yaml_gen,True,graphrag,0.052632,1.0
deployment_node_selector,yaml_gen,True,graphrag,0.136364,1.0
hpa_cpu_yaml,yaml_gen,True,graphrag,0.214286,1.0
ingress_rules,yaml_gen,True,graphrag,0.3,1.0
job_with_completions,yaml_gen,True,graphrag,0.2,1.0
limitrange_yaml,yaml_gen,True,graphrag,0.0625,1.0
networkpolicy_deny_all,yaml_gen,False,graphrag,0.25,1.0
networkpolicy_egress_yaml,yaml_gen,True,graphrag,0.25,1.0
pod_configmap_volume,yaml_gen,True,graphrag,0.166667,0.45045045045045046
pod_init_container_yaml,yaml_gen,True,graphrag,0.166667,0.45045045045045046
pod_resource_limits,yaml_gen,True,graphrag,0.333333,0.45045045045045046
pvc_dynamic,yaml_gen,False,graphrag,0.3,1.0
rolebinding_dev,yaml_gen,False,graphrag,0.2,1.0
secret_opaque_yaml,yaml_gen,False,graphrag,0.125,
service_nodeport,yaml_gen,True,graphrag,0.2,1.0
serviceaccount_yaml,yaml_gen,True,graphrag,0.125,1.0
statefulset_with_pvc,yaml_gen,True,graphrag,0.2,1.0
yaml_layer3_required_fields,yaml_gen,True,graphrag,0.0,1.0
