id,type,multi_hop,mode,ragas_faithfulness,reaq_hop_accuracy_corrected
kubectl_export_namespace_resources,command,True,llm,,
kubectl_find_pods_with_env,command,True,llm,,
kubectl_force_delete_pod,command,True,llm,,
configmap_usage,conceptual,False,llm,,
container_lifecycle_concept,conceptual,True,llm,,
daemonset_purpose,conceptual,False,llm,,
deployment_basic,conceptual,True,llm,,
empty_dir_volume_concept,conceptual,True,llm,,
env_var_concept,conceptual,True,llm,,
hpa_target,conceptual,True,llm,,
ingress_purpose,conceptual,True,llm,,
job_cronjob,conceptual,False,llm,,
limit_range_concept,conceptual,True,llm,,
namespace_quota,conceptual,True,llm,,
node_affinity_concept,conceptual,True,llm,,
persistent_volume_concept,conceptual,True,llm,,
pod_disruption_budget_concept,conceptual,True,llm,,
pod_spec,conceptual,False,llm,,
probe_concept,conceptual,True,llm,,
required_fields_container,conceptual,False,llm,,
resource_requirements_concept,conceptual,True,llm,,
scope_accuracy_node,conceptual,False,llm,,
secret_types,conceptual,False,llm,,
service_types,conceptual,True,llm,,
statefulset_storage,conceptual,False,llm,,
storageclass_concept,conceptual,False,llm,,
toleration_concept,conceptual,False,llm,,
volume_mount_concept,conceptual,False,llm,,
add_env_from_configmap,followup,True,llm,,
add_env_from_secret,followup,True,llm,,
add_hpa_to_deployment,followup,True,llm,,
add_liveness_probe,followup,True,llm,,
add_pvc_to_statefulset,followup,True,llm,,
add_readiness_probe,followup,True,llm,,
add_resource_limits,followup,True,llm,,
add_resource_limits_deployment,followup,True,llm,,
change_service_type,followup,False,llm,,
expose_with_ingress,followup,True,llm,,
scale_existing_deployment,followup,False,llm,,
update_image_version,followup,True,llm,,
plan_autoscale_ha,planning,True,llm,,
plan_cronjob_batch,planning,True,llm,,
plan_namespace_isolation,planning,True,llm,,
plan_redis_persistent,planning,True,llm,,
plan_webapp_with_db,planning,True,llm,,
configmap_volume_mount,realworld,False,llm,,
deployment_vs_statefulset_comparison,realworld,True,llm,,
hpa_custom_metrics_yaml,realworld,True,llm,,
pheres_a_simplified_version_of_a,realworld,True,llm,,
pi_am_wondering_if_it_is,realworld,False,llm,,
pi_have_a_command_to_run,realworld,True,llm,,
pi_want_to_pass_a_certificate,realworld,False,llm,,
pim_trying_to_use_a_container,realworld,True,llm,,
precodespec_containers_image_nginx_imagepul,realworld,True,llm,,
serviceaccount_pod_binding,realworld,True,llm,,
anyof_intorstring,relationship,True,llm,,
cronjob_job_pod,relationship,True,llm,,
deep_deployment_container_resources,relationship,True,llm,,
deep_statefulset_container_probe,relationship,True,llm,,
deployment_pod_relation,relationship,True,llm,,
extends_hpa_metric,relationship,True,llm,,
hpa_deployment_pod,relationship,True,llm,,
ingress_service_pod,relationship,True,llm,,
namespace_quota_relation,relationship,True,llm,,
networkpolicy_pod_selector,relationship,True,llm,,
oneof_volume_source,relationship,True,llm,,
pod_namespace_relation,relationship,False,llm,,
pvc_storageclass,relationship,True,llm,,
rbac_binding,relationship,True,llm,,
secret_usage,relationship,True,llm,,
service_selector,relationship,True,llm,,
serviceaccount_token_binding,relationship,True,llm,,
statefulset_pvc_pv,relationship,True,llm,,
crashloopbackoff_oomkilled,troubleshooting,True,llm,,
deployment_rollout_stuck,troubleshooting,True,llm,,
imagepullbackoff_registry_secret,troubleshooting,True,llm,,
pod_pending_no_resources,troubleshooting,True,llm,,
service_no_endpoints,troubleshooting,True,llm,,
clusterrole_read_pods,yaml_gen,False,llm,,
clusterrolebinding_yaml,yaml_gen,True,llm,,
configmap_env,yaml_gen,False,llm,,
cronjob_backup,yaml_gen,True,llm,,
cronjob_with_deadline,yaml_gen,True,llm,,
daemonset_fluentd,yaml_gen,True,llm,,
deployment_3_replicas,yaml_gen,True,llm,,
deployment_liveness_probe,yaml_gen,True,llm,,
deployment_node_selector,yaml_gen,True,llm,,
hpa_cpu_yaml,yaml_gen,True,llm,,
ingress_rules,yaml_gen,True,llm,,
job_with_completions,yaml_gen,True,llm,,
limitrange_yaml,yaml_gen,True,llm,,
networkpolicy_deny_all,yaml_gen,False,llm,,
networkpolicy_egress_yaml,yaml_gen,True,llm,,
pod_configmap_volume,yaml_gen,True,llm,,
pod_init_container_yaml,yaml_gen,True,llm,,
pod_resource_limits,yaml_gen,True,llm,,
pvc_dynamic,yaml_gen,False,llm,,
rolebinding_dev,yaml_gen,False,llm,,
secret_opaque_yaml,yaml_gen,False,llm,,
service_nodeport,yaml_gen,True,llm,,
serviceaccount_yaml,yaml_gen,True,llm,,
statefulset_with_pvc,yaml_gen,True,llm,,
yaml_layer3_required_fields,yaml_gen,True,llm,,
