mode,type,n,ragas_faithfulness_mean,ragas_answer_relevancy_mean,ragas_context_precision_mean,ragas_context_recall_mean,reaq_hop_accuracy_corrected_mean
graphrag,command,3,0.28571433333333335,0.7488146666666667,0.0,1.0,0.5795795795795796
graphrag,conceptual,15,0.27837523076923076,0.6490452,0.44836606666666673,0.4611110666666666,0.7725916172920781
graphrag,followup,12,0.0567789,0.42782383333333335,0.22648808333333334,0.3809524166666667,0.8875000000000001
graphrag,planning,5,0.20769225,0.4282914,1.0,0.4466666,0.9420701201176795
graphrag,realworld,24,0.10217365217391303,0.3207429583333333,0.041666666666666664,0.06944445833333333,0.26248570551976125
graphrag,relationship,18,0.4430050666666666,0.6692658888888889,0.4052821666666666,0.513889,0.5428303294007001
graphrag,troubleshooting,5,0.3933334,0.6017062,0.2,1.0,0.2752198003651492
graphrag,yaml_gen,15,0.12445893333333334,0.5092142,0.4666666666666667,0.2809524666666667,0.9607464607464608
vector,command,3,0.0,0.7593803333333334,0.0,1.0,
vector,conceptual,15,0.4382853750000001,0.6914781999999999,0.33323406666666666,0.6166666666666667,
vector,followup,12,0.019480545454545455,0.6301373333333333,0.6471222500000001,0.4791666666666666,
vector,planning,5,0.0,0.6909618,0.2635912,0.24,
vector,realworld,24,0.012345666666666666,0.7032403333333332,0.10647058823529412,0.05555555555555555,
vector,relationship,18,0.4443575454545455,0.7044261111111112,0.5497137222222223,0.6111111666666668,
vector,troubleshooting,5,0.0,0.5925262,0.2054166,0.4333334,
vector,yaml_gen,15,0.030612285714285713,0.6896872666666667,0.13865226666666666,0.09682539999999999,
llm,command,3,,0.7250393333333333,,,
llm,conceptual,15,,0.6931084666666666,,,
llm,followup,12,,0.5887629166666667,,,
llm,planning,5,,0.686256,,,
llm,realworld,24,,0.6583602083333333,,,
llm,relationship,18,,0.6899156666666666,,,
llm,troubleshooting,5,,0.6285208,,,
llm,yaml_gen,15,,0.6446841999999999,,,
