intent,id,n_key_nodes,n_hit_in_answer,overlap_pct,zero_curation,n_relevant_nodes,n_expected_path,n_non_hp_edges,missing_short_names,hits_in_answer
realworld,pi_want_to_pass_a_certificate,1,0,0,1,1,0,0,Secret,
realworld,pkubectl_provides_a_nice_way_to,1,0,0,1,1,0,0,Secret,
realworld,pusing_kubernetes_v1157_in_minikube_and,1,0,0,1,1,0,0,Secret,
realworld,pwhen_using_istio_with_kubernetes_a,1,0,0,1,1,0,0,Secret,
conceptual,hpa_target,3,0,0,0,23,21,8,HorizontalPodAutoscaler|HorizontalPodAutoscalerSpec|MetricSpec,
followup,add_env_from_secret,3,0,0,0,10,9,2,Deployment|EnvVar|SecretKeySelector,
realworld,pcopied_from_here_a_hrefhttpsgithubcomkubeflowpi,1,0,0,0,4,3,0,Namespace,
realworld,pi_am_quite_new_to_tektonp,1,0,0,0,86,111,11,Pod,
realworld,pi_cant_find_documentation_on_how,1,0,0,0,4,3,0,Namespace,
realworld,pi_have_a_command_to_run,1,0,0,0,86,111,11,Pod,
realworld,pi_have_a_google_kubernetes_cluster,1,0,0,0,19,19,0,Node,
realworld,pi_have_a_tekton_codepipelinecode_and,1,0,0,0,14,14,1,PersistentVolumeClaim,
realworld,pi_want_to_reject_all_docker,1,0,0,0,4,3,0,Namespace,
realworld,pid_like_to_confirm_information_of,1,0,0,0,2,1,0,Role,
realworld,pim_using_argocd_and_i_want,1,0,0,0,4,3,0,Namespace,
realworld,precodespec_containers_image_nginx_imagepul,1,0,0,0,86,111,11,Pod,
realworld,pthis_eks_cluster_has_a_private,1,0,0,0,2,1,0,Role,
realworld,pwith_kubectl_i_know_i_can,1,0,0,0,4,3,0,Namespace,
